Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Antonio Delgado ,Rep,3-Jan-19,repdelgado,repdelgado,repdelgado,repdelgado,NY-19
Peter T. King,Rep,3-Jan-93,RepPeteKing,RepPeteKing,RepPeteKing,RepPeteKing,NY-2
Paul Tonko ,Rep,3-Jan-13,RepPaulTonko,RepPaulTonko,RepPaulTonko,RepPaulTonko,NY-20
Elise Stefanik ,Rep,3-Jan-15,RepStefanik,RepStefanik,RepStefanik,RepStefanik,NY-21
Anthony Brindisi ,Rep,3-Jan-19,RepBrindisi,RepBrindisi,RepBrindisi,RepBrindisi,NY-22
Tom Reed ,Rep,3-Jan-13,RepTomReed,RepTomReed,RepTomReed,RepTomReed,NY-23
John Katko ,Rep,3-Jan-15,RepJohnKatko,RepJohnKatko,RepJohnKatko,RepJohnKatko,NY-24
Joseph D. Morelle,Rep,13-Nov-18,RepJoeMorelle,RepJoeMorelle,RepJoeMorelle,RepJoeMorelle,NY-25
Brian Higgins ,Rep,3-Jan-13,RepBrianHiggins,RepBrianHiggins,RepBrianHiggins,RepBrianHiggins,NY-26
Chris Collins ,Rep,3-Jan-13,RepChrisCollins,RepChrisCollins,RepChrisCollins,RepChrisCollins,NY-27
Thomas Suozzi ,Rep,3-Jan-17,RepTomSuozzi,RepTomSuozzi,RepTomSuozzi,RepTomSuozzi,NY-3
Kathleen Rice ,Rep,3-Jan-15,RepKathleenRice,RepKathleenRice,RepKathleenRice,RepKathleenRice,NY-4
Gregory Meeks ,Rep,3-Feb-98,RepGregoryMeeks,RepGregoryMeeks,RepGregoryMeeks,RepGregoryMeeks,NY-5
Grace Meng ,Rep,3-Jan-13,RepGraceMeng,RepGraceMeng,RepGraceMeng,RepGraceMeng,NY-6
Nydia Velázquez ,Rep,3-Jan-13,NydiaVelazquez,NydiaVelazquez,NydiaVelazquez,NydiaVelazquez,NY-7
Hakeem Jeffries ,Rep,3-Jan-19,RepJeffries,RepJeffries,RepJeffries,RepJeffries,NY-8
Yvette Clarke ,Rep,3-Jan-13,RepYvetteClarke,RepYvetteClarke,RepYvetteClarke,RepYvetteClarke,NY-9
Steve Chabot ,Rep,3-Jan-11,RepSteveChabot,RepSteveChabot,RepSteveChabot,RepSteveChabot,OH-1
Mike Turner ,Rep,3-Jan-13,RepMikeTurner,RepMikeTurner,RepMikeTurner,RepMikeTurner,OH-10
